residue atom metal avg_bond_dist st_dev
HOH O NA 2.41 0.1
HOH O MG 2.07 0.05
HOH O K 2.81 0.20
HOH O CA 2.39 0.1
HOH O MN 2.19 0.05
HOH O FE 2.09 0.1
HOH O CO 2.09 0.1
HOH O CU 2.13 0.2
HOH O ZN 2.09 0.05

ASP O NA 2.41 0.1
ASP O MG 2.07 0.05
ASP O K 2.82 0.20
ASP O CA 2.36 0.1
ASP O MN 2.15 0.05
ASP O FE 2.04 0.1
ASP O CO 2.05 0.05
ASP O CU 1.99 0.2
ASP O ZN 1.99 0.05

GLU O NA 2.41 0.1
GLU O MG 2.07 0.05
GLU O K 2.82 0.20
GLU O CA 2.36 0.1
GLU O MN 2.15 0.05
GLU O FE 2.04 0.1 
GLU O CO 2.05 0.05
GLU O CU 1.99 0.2
GLU O ZN 1.99 0.05

CA O NA 2.38 0.1
CA O MG 2.26 0.2
CA O K 2.74 0.20
CA O CA 2.36 0.1
CA O MN 2.19 0.2
CA O FE 2.04 0.2
CA O CO 2.08 0.2
CA O CU 2.04 0.2
CA O ZN 2.07 0.2

HIS N MN 2.21 0.1
HIS N FE 2.16 0.2
HIS N CO 2.14 0.1
HIS N CU 2.02 0.1
HIS N ZN 2.03 0.05

CYS S MN 2.35 0.2
CYS S FE 2.30 0.05
CYS S CO 2.25 0.2
CYS S CU 2.15 0.2
CYS S ZN 2.31 0.1

TYR O NA 2.31 0.1
TYR O MG 1.97 0.05
TYR O K 2.72 0.20
TYR O CA 2.26 0.1
TYR O MN 2.05 0.05
TYR O FE 1.94 0.1 
TYR O CO 1.95 0.05
TYR O CU 1.89 0.2
TYR O ZN 1.89 0.05

SER O NA 2.41 0.1
SER O MG 2.07 0.1
SER O K 2.815 0.20
SER O CA 2.375 0.1
SER O MN 2.17 0.05
SER O FE 2.065 0.1 
SER O CO 2.07 0.1
SER O CU 2.06 0.2
SER O ZN 2.04 0.05

THR O NA 2.41 0.1
THR O MG 2.07 0.1
THR O K 2.815 0.20
THR O CA 2.375 0.1
THR O MN 2.17 0.05
THR O FE 2.065 0.1 
THR O CO 2.07 0.1
THR O CU 2.06 0.2
THR O ZN 2.04 0.05
